"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 22, 2020","59.24","59.93","60.25","58.80","19.55M","-0.77%"
"Jul 21, 2020","59.70","60.44","60.48","59.27","28.92M","-1.81%"
"Jul 20, 2020","60.80","61.12","61.49","60.35","16.38M","-0.39%"
"Jul 17, 2020","61.04","60.50","61.25","60.32","18.82M","1.53%"
"Jul 16, 2020","60.12","61.30","61.69","59.85","22.59M","-2.70%"
"Jul 15, 2020","61.79","62.30","62.93","60.39","29.78M","0.15%"
"Jul 14, 2020","61.70","57.92","61.97","57.90","51.95M","7.03%"
"Jul 13, 2020","57.65","57.73","59.22","57.65","28.53M","1.19%"
"Jul 10, 2020","56.97","56.52","57.30","56.16","14.67M","0.97%"
"Jul 09, 2020","56.42","57.52","57.68","56.06","19.62M","-1.57%"
"Jul 08, 2020","57.32","56.90","57.72","55.79","32.55M","1.69%"
"Jul 07, 2020","56.37","56.74","56.98","56.10","13.46M","-0.35%"
"Jul 06, 2020","56.57","56.09","56.74","55.59","23.55M","2.37%"
"Jul 03, 2020","55.26","55.20","55.70","54.93","7.76M","-0.41%"
"Jul 02, 2020","55.49","54.85","55.74","54.75","23.99M","1.74%"
"Jul 01, 2020","54.54","56.08","56.08","54.05","28.82M","-2.47%"
"Jun 30, 2020","55.92","55.44","56.54","55.01","27.40M","0.52%"
"Jun 29, 2020","55.63","55.44","55.91","54.84","15.20M","0.02%"
"Jun 26, 2020","55.62","55.90","56.95","55.21","21.49M","-0.68%"
"Jun 25, 2020","56.00","55.50","56.15","54.87","16.88M","1.10%"
"Jun 24, 2020","55.39","56.25","56.26","54.82","18.07M","-0.36%"
"Jun 23, 2020","55.59","55.53","56.56","55.37","18.16M","1.07%"
"Jun 22, 2020","55.00","55.00","55.35","54.43","14.79M","-0.31%"
"Jun 19, 2020","55.17","56.33","56.60","54.71","37.86M","-1.78%"
"Jun 18, 2020","56.17","56.30","56.54","55.61","25.69M","-0.05%"
"Jun 17, 2020","56.20","55.49","56.44","55.15","27.57M","1.46%"
"Jun 16, 2020","55.39","55.49","55.50","54.22","29.17M","2.80%"
"Jun 15, 2020","53.88","52.50","54.43","52.13","27.32M","0.90%"
"Jun 12, 2020","53.40","53.71","54.05","51.98","31.18M","-1.48%"
"Jun 10, 2020","54.20","54.91","55.20","53.76","24.19M","-1.44%"
"Jun 09, 2020","54.99","54.16","54.99","54.12","19.61M","0.38%"
"Jun 08, 2020","54.78","54.98","55.65","53.98","27.19M","0.31%"
"Jun 05, 2020","54.61","56.39","56.70","54.34","39.64M","-1.89%"
"Jun 04, 2020","55.66","53.72","55.70","53.52","37.38M","3.73%"
"Jun 03, 2020","53.66","53.90","54.34","53.38","31.23M","0.45%"
"Jun 02, 2020","53.42","53.80","53.80","53.00","25.42M","0.00%"
"Jun 01, 2020","53.42","52.82","53.85","52.50","27.01M","0.79%"
"May 29, 2020","53.00","51.40","53.00","51.06","92.24M","5.81%"
"May 28, 2020","50.09","51.00","51.65","50.05","23.34M","-1.09%"
"May 27, 2020","50.64","49.84","50.83","48.78","31.74M","2.93%"
"May 26, 2020","49.20","50.38","50.52","48.84","28.76M","-1.80%"
"May 25, 2020","50.10","51.41","51.68","49.92","21.01M","-0.34%"
"May 22, 2020","50.27","50.77","51.10","49.90","23.41M","-1.68%"
"May 21, 2020","51.13","52.29","52.66","50.37","41.72M","-2.61%"
"May 20, 2020","52.50","53.37","53.67","52.50","26.91M","0.11%"
"May 19, 2020","52.44","51.30","52.71","51.09","27.61M","2.30%"
"May 18, 2020","51.26","50.34","51.60","49.95","41.83M","6.68%"
"May 15, 2020","48.05","48.69","49.30","48.05","34.99M","-0.08%"
"May 14, 2020","48.09","47.95","48.46","46.94","35.39M","-0.93%"
"May 13, 2020","48.54","48.17","49.18","47.66","34.01M","2.28%"
"May 12, 2020","47.46","48.43","48.60","47.46","21.62M","-0.57%"
"May 11, 2020","47.73","48.21","49.25","47.73","24.62M","-2.29%"
"May 08, 2020","48.85","47.50","48.96","46.97","33.80M","6.08%"
"May 07, 2020","46.05","45.63","46.98","45.45","42.05M","3.88%"
"May 06, 2020","44.33","44.19","44.76","43.61","26.49M","1.44%"
"May 05, 2020","43.70","44.45","45.03","43.70","18.96M","-0.52%"
"May 04, 2020","43.93","43.70","44.33","43.40","16.87M","-2.07%"
"Apr 30, 2020","44.86","45.71","46.17","44.76","25.39M","-4.00%"
"Apr 29, 2020","46.73","45.35","47.38","44.84","32.98M","4.75%"
"Apr 28, 2020","44.61","45.20","45.29","43.48","25.47M","0.13%"
"Apr 27, 2020","44.55","44.46","45.05","43.86","25.42M","1.81%"
"Apr 24, 2020","43.76","43.37","44.20","41.83","54.90M","0.57%"
"Apr 23, 2020","43.51","43.29","44.69","42.81","26.98M","1.42%"
"Apr 22, 2020","42.90","42.60","43.24","42.05","22.53M","1.04%"
"Apr 20, 2020","42.46","43.26","43.26","42.23","28.90M","-3.50%"
"Apr 17, 2020","44.00","43.90","44.23","43.22","23.53M","2.90%"
"Apr 16, 2020","42.76","43.80","43.99","42.04","24.26M","-1.00%"
"Apr 15, 2020","43.19","43.50","43.90","42.61","28.69M","-3.01%"
"Apr 14, 2020","44.53","45.62","46.00","44.50","24.64M","-0.09%"
"Apr 13, 2020","44.57","43.20","44.57","42.98","21.95M","2.98%"
"Apr 09, 2020","43.28","43.95","44.47","42.84","29.80M","-0.53%"
"Apr 08, 2020","43.51","43.50","44.25","43.05","29.33M","-0.62%"
"Apr 07, 2020","43.78","45.19","45.50","43.56","34.06M","1.51%"
"Apr 06, 2020","43.13","42.60","43.39","41.97","31.84M","6.49%"
"Apr 03, 2020","40.50","42.80","42.87","39.76","31.54M","-5.33%"
"Apr 02, 2020","42.78","43.95","44.57","41.92","34.27M","-1.36%"
"Apr 01, 2020","43.37","41.81","44.12","41.20","37.02M","0.35%"
"Mar 31, 2020","43.22","42.30","44.49","42.22","39.03M","3.47%"
"Mar 30, 2020","41.77","40.92","42.32","40.74","31.19M","4.16%"
"Mar 27, 2020","40.10","39.30","41.44","39.20","32.16M","-4.52%"
"Mar 26, 2020","42.00","41.01","42.41","39.99","35.39M","2.82%"
"Mar 25, 2020","40.85","38.19","41.35","38.09","37.93M","8.53%"
"Mar 24, 2020","37.64","36.86","38.65","36.86","36.95M","10.38%"
"Mar 23, 2020","34.10","35.55","35.86","33.37","41.74M","-3.10%"
"Mar 20, 2020","35.19","37.90","39.41","34.71","50.20M","-3.32%"
"Mar 19, 2020","36.40","37.50","39.00","35.26","52.14M","-5.82%"
"Mar 18, 2020","38.65","38.80","40.87","35.70","59.55M","-6.89%"
"Mar 17, 2020","41.51","40.50","43.57","39.11","52.59M","6.33%"
"Mar 16, 2020","39.04","36.01","41.40","36.01","58.83M","-9.00%"
"Mar 13, 2020","42.90","42.00","44.03","37.00","67.25M","21.36%"
"Mar 12, 2020","35.35","36.00","36.00","32.45","61.99M","-13.23%"
"Mar 11, 2020","40.74","43.01","44.29","39.00","49.61M","-9.08%"
"Mar 10, 2020","44.81","41.90","45.34","40.80","62.97M","18.45%"
"Mar 09, 2020","37.83","40.45","41.54","37.81","58.88M","-15.20%"
"Mar 06, 2020","44.61","44.20","45.82","43.65","39.72M","-4.78%"
"Mar 05, 2020","46.85","47.66","47.95","45.95","29.09M","-3.54%"
"Mar 04, 2020","48.57","48.00","49.09","47.00","31.48M","4.79%"
"Mar 03, 2020","46.35","46.74","49.09","46.07","52.40M","-0.02%"
"Mar 02, 2020","46.36","44.88","47.09","44.81","48.37M","4.63%"
"Feb 28, 2020","44.31","43.99","44.31","43.20","33.23M","-0.36%"
"Feb 27, 2020","44.47","44.65","45.54","43.56","42.42M","-1.94%"
"Feb 26, 2020","45.35","46.66","46.84","45.06","46.92M","-9.54%"
"Feb 21, 2020","50.13","51.00","51.14","49.80","32.25M","-3.97%"
"Feb 20, 2020","52.20","53.27","53.49","52.06","18.82M","-1.16%"
"Feb 19, 2020","52.81","52.93","53.12","52.40","14.44M","0.02%"
"Feb 18, 2020","52.80","52.55","53.05","52.12","18.05M","-1.14%"
"Feb 17, 2020","53.41","51.71","53.41","51.62","28.13M","4.73%"
"Feb 14, 2020","51.00","52.21","52.28","50.95","19.90M","-2.19%"
"Feb 13, 2020","52.14","52.22","52.40","51.56","20.11M","-1.75%"
"Feb 12, 2020","53.07","53.10","53.38","52.83","28.54M","1.96%"
"Feb 11, 2020","52.05","51.15","52.20","51.02","27.56M","3.71%"
"Feb 10, 2020","50.19","51.90","51.90","49.92","28.24M","-3.67%"
"Feb 07, 2020","52.10","52.88","52.96","51.92","14.45M","-2.21%"
"Feb 06, 2020","53.28","53.66","53.92","52.82","22.16M","0.55%"
"Feb 05, 2020","52.99","53.32","53.62","52.99","26.80M","1.38%"
"Feb 04, 2020","52.27","52.20","52.58","51.97","21.56M","2.67%"
"Feb 03, 2020","50.91","50.50","51.09","49.80","18.86M","1.27%"
"Jan 31, 2020","50.27","50.96","51.06","49.80","29.99M","-2.39%"
"Jan 30, 2020","51.50","49.97","51.50","49.80","23.08M","1.48%"
"Jan 29, 2020","50.75","51.70","51.89","50.46","23.32M","-0.88%"
"Jan 28, 2020","51.20","51.20","52.09","51.08","23.05M","1.37%"
"Jan 27, 2020","50.51","51.66","51.82","50.48","38.78M","-6.12%"
"Jan 24, 2020","53.80","55.62","55.73","53.69","19.74M","-3.06%"
"Jan 23, 2020","55.50","55.43","55.73","54.71","23.03M","-1.42%"
"Jan 22, 2020","56.30","56.60","56.85","56.06","17.27M","0.48%"
"Jan 21, 2020","56.03","56.80","57.01","55.74","25.44M","-2.32%"
"Jan 20, 2020","57.36","57.00","57.36","56.53","16.75M","0.63%"
"Jan 17, 2020","57.00","56.25","57.09","56.10","36.52M","3.32%"
"Jan 16, 2020","55.17","55.60","55.95","55.10","13.15M","-0.52%"
"Jan 15, 2020","55.46","55.30","56.08","55.11","21.43M","-0.32%"
"Jan 14, 2020","55.64","55.30","56.35","55.00","27.82M","0.61%"
"Jan 13, 2020","55.30","53.64","55.64","53.51","27.50M","3.64%"
"Jan 10, 2020","53.36","53.75","53.87","53.11","9.13M","0.11%"
"Jan 09, 2020","53.30","53.75","53.87","53.05","14.64M","-1.31%"
"Jan 08, 2020","54.01","54.20","54.37","53.62","15.30M","0.02%"
"Jan 07, 2020","54.00","53.50","54.19","53.40","16.33M","0.73%"
"Jan 06, 2020","53.61","53.80","53.80","53.15","32.79M","-0.59%"
"Jan 03, 2020","53.93","53.68","54.50","53.58","17.28M","-0.74%"
"Jan 02, 2020","54.33","53.98","54.44","53.75","17.51M","1.93%"
"Dec 30, 2019","53.30","53.65","53.86","53.20","11.93M","-0.56%"
"Dec 27, 2019","53.60","53.99","54.00","53.42","13.92M","0.41%"
"Dec 26, 2019","53.38","53.40","53.58","53.10","20.41M","0.39%"
"Dec 23, 2019","53.17","53.48","53.56","53.00","10.23M","-0.39%"
"Dec 20, 2019","53.38","53.36","53.57","52.75","42.12M","1.46%"
"Dec 19, 2019","52.61","52.12","52.84","51.85","17.68M","1.00%"
"Dec 18, 2019","52.09","51.90","52.16","51.24","22.92M","0.23%"
"Dec 17, 2019","51.97","51.88","52.32","51.68","13.57M","0.02%"
"Dec 16, 2019","51.96","53.09","53.26","51.96","21.81M","-0.78%"
"Dec 13, 2019","52.37","51.92","52.61","51.48","28.17M","-1.10%"
"Dec 12, 2019","52.95","52.10","53.06","51.73","25.14M","2.16%"
"Dec 11, 2019","51.83","51.38","52.05","51.22","15.57M","1.23%"
"Dec 10, 2019","51.20","51.22","51.43","50.90","13.88M","-0.47%"
"Dec 09, 2019","51.44","52.25","52.49","51.33","19.39M","0.18%"
"Dec 06, 2019","51.35","51.25","51.69","51.03","13.89M","0.79%"
"Dec 05, 2019","50.95","50.70","51.08","50.55","9.50M","0.06%"
"Dec 04, 2019","50.92","50.83","51.03","50.53","9.11M","0.99%"
"Dec 03, 2019","50.42","51.25","51.26","50.25","13.48M","-1.79%"
"Dec 02, 2019","51.34","50.15","51.69","50.11","23.95M","2.72%"
"Nov 29, 2019","49.98","50.37","50.47","49.82","10.29M","-0.77%"
"Nov 28, 2019","50.37","50.56","50.88","49.69","10.15M","-0.42%"
